workers	size	messages/s
1	1	777.06
1	2	1197.41
1	4	1547.19
1	8	1852.77
1	16	2038.98
1	32	2114.64
2	1	924.76
2	2	1408.11
2	4	1829.89
2	8	2176.88
2	16	2192.21
2	32	2004.58
4	1	1018.44
4	2	1604.55
4	4	2143.52
4	8	2445.12
4	16	2254.48
4	32	1997.92
6	1	1064.07
6	2	1704.70
6	4	2275.33
6	8	2491.15
6	16	2251.81
6	32	2000.75
8	1	1078.83
8	2	1737.62
8	4	2323.26
8	8	2492.75
8	16	2253.74
8	32	1989.72
10	1	1086.50
10	2	1774.55
10	4	2313.73
10	8	2478.49
10	16	2252.34
10	32	2011.95
12	1	1093.79
12	2	1753.41
12	4	2333.16
12	8	2458.41
12	16	2246.89
12	32	1996.15
