workers	size	messages/s
1	1	413.22
1	2	797.98
1	4	1359.41
1	8	1530.51
1	16	1404.07
1	32	1008.64
2	1	706.01
2	2	1108.28
2	4	1404.28
2	8	1439.38
2	16	1013.32
2	32	965.97
4	1	716.69
4	2	1091.53
4	4	1370.02
4	8	1081.84
4	16	1024.61
4	32	1003.70
6	1	709.58
6	2	1094.55
6	4	1039.65
6	8	1082.31
6	16	1041.23
6	32	1038.26
8	1	708.11
8	2	1094.69
8	4	1050.10
8	8	1081.88
8	16	1049.24
8	32	971.60
10	1	709.03
10	2	1099.71
10	4	1378.46
10	8	1436.23
10	16	1058.26
10	32	1037.33
12	1	708.17
12	2	895.64
12	4	1106.98
12	8	1125.32
12	16	1088.98
12	32	1076.60
