workers	size	messages/s
1	1	463.52
1	2	775.67
1	4	1343.01
1	8	2085.22
1	16	2095.77
1	32	1352.57
2	1	807.90
2	2	1285.25
2	4	1774.32
2	8	2030.76
2	16	1371.72
2	32	1257.30
4	1	810.77
4	2	1297.19
4	4	1795.61
4	8	1402.10
4	16	1379.23
4	32	1316.52
6	1	815.04
6	2	1296.78
6	4	1251.13
6	8	1370.96
6	16	1355.45
6	32	1292.72
8	1	814.60
8	2	1290.88
8	4	1272.40
8	8	1397.95
8	16	1368.24
8	32	1265.16
10	1	816.51
10	2	1282.74
10	4	1784.16
10	8	2049.65
10	16	1368.59
10	32	1284.41
12	1	814.62
12	2	1024.94
12	4	1315.06
12	8	1452.27
12	16	1441.74
12	32	1372.40
